datetime,exchange_rate
2026-09-25 08:20:00,277.08253
2026-09-25 08:21:00,277.06256
2026-09-25 08:22:00,277.08615
2026-09-25 08:23:00,277.08893
2026-09-25 08:24:00,277.10075
2026-09-25 08:25:00,277.1202
2026-09-25 08:26:00,277.05834
2026-09-25 08:27:00,277.07479
2026-09-25 08:28:00,277.05701
2026-09-25 08:29:00,277.07238
2026-09-25 08:30:00,277.07189
2026-09-25 08:31:00,277.06259
2026-09-25 08:32:00,277.07028
2026-09-25 08:33:00,277.08389
2026-09-25 08:34:00,277.08702
2026-09-25 08:35:00,277.0893
2026-09-25 08:36:00,277.06394
2026-09-25 08:37:00,277.09515
2026-09-25 08:38:00,277.09879
2026-09-25 08:39:00,277.07141
2026-09-25 08:40:00,277.08463
2026-09-25 08:41:00,277.06476
2026-09-25 08:42:00,277.08983
2026-09-25 08:43:00,277.0927
2026-09-25 08:44:00,277.10009
2026-09-25 08:45:00,277.11663
2026-09-25 08:46:00,277.05478
2026-09-25 08:47:00,277.09203
2026-09-25 08:48:00,277.05416
2026-09-25 08:49:00,277.08128
2026-09-25 08:50:00,277.085
2026-09-25 08:51:00,277.05613
2026-09-25 08:52:00,277.07597
2026-09-25 08:53:00,277.08591
2026-09-25 08:54:00,277.08679
2026-09-25 08:55:00,277.0863
2026-09-25 08:56:00,277.06232
2026-09-25 08:57:00,277.08746
2026-09-25 08:58:00,277.08598
2026-09-25 08:59:00,277.09142
2026-09-25 09:00:00,277.08548
2026-09-25 09:01:00,277.10084
2026-09-25 09:02:00,277.1017
2026-09-25 09:03:00,277.0713
2026-09-25 09:04:00,277.09432
2026-09-25 09:05:00,277.09437
2026-09-25 09:06:00,277.10479
2026-09-25 09:07:00,277.10531
2026-09-25 09:08:00,277.10873
2026-09-25 09:09:00,277.10434
2026-09-25 09:10:00,277.10454
2026-09-25 09:11:00,277.10411
2026-09-25 09:12:00,277.10526
2026-09-25 09:13:00,277.09912
2026-09-25 09:14:00,277.10125
2026-09-25 09:15:00,277.1084
2026-09-25 09:16:00,277.10526
2026-09-25 09:17:00,277.0903
2026-09-25 09:18:00,277.07346
2026-09-25 09:19:00,277.09922
2026-09-25 09:20:00,277.10104
2026-09-25 09:21:00,277.10204
2026-09-25 09:22:00,277.10584
2026-09-25 09:23:00,277.10792
2026-09-25 09:24:00,277.08577
2026-09-25 09:25:00,277.09746
2026-09-25 09:26:00,277.10902
2026-09-25 09:27:00,277.10795
2026-09-25 09:28:00,277.1135
2026-09-25 09:29:00,277.10956
2026-09-25 09:30:00,277.10867
2026-09-25 09:31:00,277.10292
2026-09-25 09:32:00,277.10939
2026-09-25 09:33:00,277.06208
2026-09-25 09:34:00,277.08721
2026-09-25 09:35:00,277.0922
2026-09-25 09:36:00,277.08858
2026-09-25 09:37:00,277.10719
2026-09-25 09:38:00,277.10992
2026-09-25 09:39:00,277.09408
2026-09-25 09:40:00,277.104
2026-09-25 09:41:00,277.10611
2026-09-25 09:42:00,277.1009
2026-09-25 09:43:00,277.10314
2026-09-25 09:44:00,277.09528
2026-09-25 09:45:00,277.10296
2026-09-25 09:46:00,277.11076
2026-09-25 09:47:00,277.12709
2026-09-25 09:48:00,277.05623
2026-09-25 09:49:00,277.08901
2026-09-25 09:50:00,277.08844
2026-09-25 09:51:00,277.08751
2026-09-25 09:52:00,277.09181
2026-09-25 09:53:00,277.0933
2026-09-25 09:54:00,277.07726
2026-09-25 09:55:00,277.10016
2026-09-25 09:56:00,277.10025
2026-09-25 09:57:00,277.09352
2026-09-25 09:58:00,277.099
2026-09-25 09:59:00,277.08951
2026-09-25 10:00:00,277.09637
2026-09-25 10:01:00,277.0878
2026-09-25 10:02:00,277.07997
2026-09-25 10:03:00,277.0661
2026-09-25 10:04:00,277.0959
2026-09-25 10:05:00,277.09939
2026-09-25 10:06:00,277.10469
2026-09-25 10:07:00,277.10778
2026-09-25 10:08:00,277.07519
2026-09-25 10:09:00,277.08929
2026-09-25 10:10:00,277.08323
2026-09-25 10:11:00,277.08682
2026-09-25 10:12:00,277.08959
2026-09-25 10:13:00,277.10016
2026-09-25 10:14:00,277.10435
2026-09-25 10:15:00,277.09347
2026-09-25 10:16:00,277.0766
2026-09-25 10:17:00,277.09306
2026-09-25 10:18:00,277.05274
2026-09-25 10:19:00,277.09038
2026-09-25 10:20:00,277.07778
2026-09-25 10:21:00,277.11159
2026-09-25 10:22:00,277.08445
2026-09-25 10:23:00,277.0755
2026-09-25 10:24:00,277.09392
2026-09-25 10:25:00,277.09646
2026-09-25 10:26:00,277.08426
2026-09-25 10:27:00,277.07063
2026-09-25 10:28:00,277.08648
2026-09-25 10:29:00,277.08613
2026-09-25 10:30:00,277.0907
2026-09-25 10:31:00,277.07333
2026-09-25 10:32:00,277.09123
2026-09-25 10:33:00,277.06107
2026-09-25 10:34:00,277.0962
2026-09-25 10:35:00,277.11111
2026-09-25 10:36:00,277.12453
2026-09-25 10:37:00,277.07531
2026-09-25 10:38:00,277.08984
2026-09-25 10:39:00,277.09964
2026-09-25 10:40:00,277.09904
2026-09-25 10:41:00,277.08045
2026-09-25 10:42:00,277.08766
2026-09-25 10:43:00,277.09695
2026-09-25 10:44:00,277.10384
2026-09-25 10:45:00,277.07856
2026-09-25 10:46:00,277.05823
2026-09-25 10:47:00,277.0986
2026-09-25 10:48:00,277.06685
2026-09-25 10:49:00,277.09185
2026-09-25 10:50:00,277.08283
2026-09-25 10:51:00,277.08029
2026-09-25 10:52:00,277.10374
2026-09-25 10:53:00,277.08937
2026-09-25 10:54:00,277.09619
2026-09-25 10:55:00,277.08058
2026-09-25 10:56:00,277.11371
2026-09-25 10:57:00,277.08195
2026-09-25 10:58:00,277.0905
2026-09-25 10:59:00,277.0929
2026-09-25 11:00:00,277.08287
2026-09-25 11:01:00,277.08858
2026-09-25 11:02:00,277.0471
2026-09-25 11:03:00,277.03892
2026-09-25 11:04:00,277.05062
2026-09-25 11:05:00,277.05379
2026-09-25 11:06:00,277.02988
2026-09-25 11:07:00,277.04511
2026-09-25 11:08:00,277.05874
2026-09-25 11:09:00,277.05802
2026-09-25 11:10:00,277.05713
2026-09-25 11:11:00,277.02785
2026-09-25 11:12:00,277.02686
2026-09-25 11:13:00,277.03956
2026-09-25 11:14:00,277.04178
2026-09-25 11:15:00,277.04776
2026-09-25 11:16:00,277.05174
2026-09-25 11:17:00,277.02264
2026-09-25 11:18:00,277.03366
2026-09-25 11:19:00,277.02051
2026-09-25 11:20:00,277.04331
2026-09-25 11:21:00,277.02147
2026-09-25 11:22:00,277.04434
2026-09-25 11:23:00,277.05072
2026-09-25 11:24:00,277.06076
2026-09-25 11:25:00,277.0814
2026-09-25 11:26:00,277.01115
2026-09-25 11:27:00,277.03744
2026-09-25 11:28:00,277.05054
2026-09-25 11:29:00,277.05456
2026-09-25 11:30:00,277.05503
2026-09-25 11:31:00,277.02619
2026-09-25 11:32:00,277.0448
2026-09-25 11:33:00,277.03258
2026-09-25 11:34:00,277.03578
2026-09-25 11:35:00,277.0441
2026-09-25 11:36:00,277.04664
2026-09-25 11:37:00,277.06866
2026-09-25 11:38:00,277.08109
2026-09-25 11:39:00,277.04887
2026-09-25 11:40:00,277.03441
2026-09-25 11:41:00,277.0246
2026-09-25 11:42:00,277.05086
2026-09-25 11:43:00,277.05444
2026-09-25 11:44:00,277.04353
2026-09-25 11:45:00,277.05807
2026-09-25 11:46:00,277.03082
2026-09-25 11:47:00,277.04626
2026-09-25 11:48:00,277.00141
2026-09-25 11:49:00,277.04497
2026-09-25 11:50:00,277.05495
2026-09-25 11:51:00,277.03338
2026-09-25 11:52:00,277.02306
2026-09-25 11:53:00,277.04438
2026-09-25 11:54:00,277.04684
2026-09-25 11:55:00,277.0386
2026-09-25 11:56:00,277.02958
2026-09-25 11:57:00,277.04996
2026-09-25 11:58:00,277.05079
2026-09-25 11:59:00,277.02725
2026-09-25 12:00:00,277.09474
2026-09-25 12:01:00,277.0253
2026-09-25 12:02:00,277.0389
2026-09-25 12:03:00,277.02968
2026-09-25 12:04:00,277.06241
2026-09-25 12:05:00,277.08282
2026-09-25 12:06:00,277.04079
2026-09-25 12:07:00,277.07748
2026-09-25 12:08:00,277.08887
2026-09-25 12:09:00,277.06977
2026-09-25 12:10:00,277.08993
2026-09-25 12:11:00,277.052
2026-09-25 12:12:00,277.05025
2026-09-25 12:13:00,277.04335
2026-09-25 12:14:00,277.06988
2026-09-25 12:15:00,277.04558
2026-09-25 12:16:00,277.05199
2026-09-25 12:17:00,277.0347
2026-09-25 12:18:00,277.05527
2026-09-25 12:19:00,277.06384
2026-09-25 12:20:00,277.04893
2026-09-25 12:21:00,277.0665
2026-09-25 12:22:00,277.05763
2026-09-25 12:23:00,277.06994
2026-09-25 12:24:00,277.07377
2026-09-25 12:25:00,277.04512
2026-09-25 12:26:00,277.04695
2026-09-25 12:27:00,277.0609
2026-09-25 12:28:00,277.04936
2026-09-25 12:29:00,277.05923
2026-09-25 12:30:00,277.05787
2026-09-25 12:31:00,277.03953
2026-09-25 12:32:00,277.05135
2026-09-25 12:33:00,277.04366
2026-09-25 12:34:00,277.05689
2026-09-25 12:35:00,277.05991
2026-09-25 12:36:00,277.04359
2026-09-25 12:37:00,277.07067
2026-09-25 12:38:00,277.05138
2026-09-25 12:39:00,277.04656
2026-09-25 12:40:00,277.05869
2026-09-25 12:41:00,277.02228
2026-09-25 12:42:00,277.07064
2026-09-25 12:43:00,277.07148
2026-09-25 12:44:00,277.02475
2026-09-25 12:45:00,277.05759
2026-09-25 12:46:00,277.04627
2026-09-25 12:47:00,277.0636
2026-09-25 12:48:00,277.04482
2026-09-25 12:49:00,277.08022
2026-09-25 12:50:00,277.10751
2026-09-25 12:51:00,277.03971
2026-09-25 12:52:00,277.04157
2026-09-25 12:53:00,277.03828
2026-09-25 12:54:00,277.04592
2026-09-25 12:55:00,277.03771
2026-09-25 12:56:00,277.02922
2026-09-25 12:57:00,277.05286
2026-09-25 12:58:00,277.05571
2026-09-25 12:59:00,277.04114
2026-09-25 13:00:00,277.06412
2026-09-25 13:01:00,277.06107
2026-09-25 13:02:00,277.03783
2026-09-25 13:03:00,277.03331
2026-09-25 13:04:00,277.04767
2026-09-25 13:05:00,277.05919
2026-09-25 13:06:00,277.06611
2026-09-25 13:07:00,277.02085
2026-09-25 13:08:00,277.00337
2026-09-25 13:09:00,277.04049
2026-09-25 13:10:00,277.04737
2026-09-25 13:11:00,277.04667
2026-09-25 13:12:00,277.04302
2026-09-25 13:13:00,277.02635
2026-09-25 13:14:00,277.01754
2026-09-25 13:15:00,277.07772
2026-09-25 13:16:00,277.05487
2026-09-25 13:17:00,277.06263
